1;Hostrup Musik;Die Forelle (Schubert);koncert;Lied;Horsens;November 2010;800;
26;PensionisterIDanmark;Albuebandage;hjælpemidler;special tøj;NULL;NULL;19900;
27;PensionisterIDanmark;Knæbind;hjælpemidler;special tøj;NULL;NULL;11900;
28;ForDeÆldre.dk;Stavgang (video);transport;personlig transport;NULL;NULL;9900;
29;TilTiden;Phoneeasy 410 gsm;kommunikation;telefoner;NULL;NULL;129900;
30;Seniorshoppen;SeePlus 314ci;kommunikation;telefoner;NULL;NULL;89900;
31;Event Shopping;Kandis;underholdning;koncert;Odense;Januar 2011;34900;
32;Event Shopping;Biograf klub (København);underholdning;biograf;København;NULL;25000;
33;Event Shopping;Biograf klub (Køge);underholdning;biograf;Køge;NULL;25000;
34;PensionisterIDanmark;Sengebånd med plastgreb;hjælpemidler;soveværelse;NULL;NULL;11000;
35;PensionisterIDanmark;Sensan 1 hovedpude;hjælpemidler;soveværelse;NULL;NULL;19900;
36;ForDeÆldre.dk;Good Grip kniv;hjælpemidler;køkken;NULL;NULL;10400;
37;ForDeÆldre.dk;Good Grip gaffel;hjælpemidler;køkken;NULL;NULL;10400;
38;ÆldreRejser;Stockholm (en uge);rejser;Skandinavien;København;Marts 2011;399900;
39;ÆldreRejser;Oslo (en uge);rejser;Skandinavien;København;Januar 2011;450000;
40;ÆldreRejser;Berlin (en uge);rejser;Europa;København;December 2011;349900;
41;ÆldreRejser;Paris (en uge);rejser;Europa;København;December 2011;799900;
42;ÆldreRejser;London (en uge);rejser;Europa;København;Februar 2011; 589900;
43;ÆldreRejser;Caribien Krydstogt (en uge);rejser;De Vestindiske Øer;Aalborg;Januar 2011;1299900;
44;ÆldreRejser;Krydstogt I Middelhavet (en uge);rejser;Europa;København;August 2011;1499900;
45;TilTiden;Massagestol;hjælpemidler;bekvemmelighed;NULL;NULL;349900;
46;SeniorShoppen;Albuestok (hvid);hjælpemidler;personlig transport;NULL;NULL;8900;
47;SeniorShoppen;Badebænk med ryglæn;hjælpemidler;badeværelse;NULL;NULL;114900;
48;ForDeÆldre.dk;Sikkerhedsbademåtte;hjælpemidler;badeværelse;NULL;NULL;19900;
49;ForDeÆldre.dk;Monterbart håndgreb (plastic);hjælpemidler;badeværelse;NULL;NULL;12900;
50;TilTiden;Vægbøjle (marmor);hjælpemidler;badeværelse;NULL;NULL;99900;
51;PensionisterIDanmark;Lågåbner;hjælpemidler;køkken;NULL;NULL;17400;
52;PensionisterIDanmark;Brødkniv m. bølgeskær;hjælpemidler;køkken;NULL;NULL;29900;
53;MuseerIDanmark;Impressionisme i 1900-tallet;underholdning;kultur;Køge;November 2010;19900;
54;MuseerIDanmark;Den Amerikanske Borgerkrig;underholdning;kultur;København;December 2010;24900;
55;MuseerIDanmark;Skagensmalerne;underholdning;kultur;Hillerød;Januar 2011;24900;
56;MuseerIDanmark;Danmark I Middelalderen;underholdning;kultur;Odense;Januar 2011;29900;
57;Trolley Shoppen;Promovec Electric Bicycle;hjælpemidler;personlig transport;NULL;NULL;1399900;
58;Trolley Shoppen;Promovec Ergonomic Seat;hjælpemidler;personlig transport;NULL;NULL;49900;
59;ForDeÆldre.dk;Niceole (Plejeseng);hjælpemidler;soveværelse;NULL;NULL;899900;
60;ForDeÆldre.dk;Peggy (Plejeseng);hjælpemidler;soveværelse;NULL;NULL;999900;
61;PensionisterIDanmark;Melanie (Plejeseng);hjælpemidler;soveværelse;NULL;NULL;899900;
62;Seniorshoppen;B-veg skum madras;hjælpemidler;soveværelse;NULL;NULL;349900;
63;Event Shopping;Danmarks Største Loppemarked;rejser;Danmark;Lyngby;November 2010;4900;
64;PensionisterIDanmark;Badetaburet med PUR sæde;hjælpemidler;badeværelse;NULL;NULL;139900;
65;TilTiden;Kørestolspude, sort;hjælpemidler;personlig transport;NULL;NULL;29900;
66;ForDeÆldre.dk;Indkøbsnet til kørestole;hjælpemidler;personlig transport;NULL;NULL;19900;
67;Seniorshoppen;Spisepude;hjælpemidler;køkken;NULL;NULL;39900;
68;PensionisterIDanmark;Senge- og læsebord med 4 hjul;hjælpemidler;soveværelse;NULL;NULL;139900;
69;ÆldreRejser;Frankfurt (3 dage);rejser;Europa;København;September 2011;500000;
70;MuseerIDanmark;Guldhornene;underholdning;kultur;Hillerød;November 2011;29900;
71;ForDeÆldre.dk;Oticon Agil Høreapparat;hjælpemidler;bekvemmelighed;NULL;NULL;1099900;
72;ForDeÆldre.dk;Siemens Life Høreapparat;hjælpemidler;bekvemmelighed;NULL;NULL;999900;
73;SeniorShoppen;Widex Passion Høreapparat;hjælpemidler;bekvemmelighed;NULL;NULL;1200000;
